cleaned_text	lemm_text
- Я делаю все, что в моей власти. - Вы захватываете безликих людей и прячете их. - Не говорите мне.	я делать весь мой власть вы захватывать безликий человек прятать они не говорить я
Распоряжение сверху?	распоряжение сверху
Этот день Коронации, все взгляды устремлены на Лондон,	этот день коронация взгляд устремить лондон
так что, никаких проблем Вам сейчас не нужно.	что никакой проблема вы нужно
Нация заслужила небольшой праздник.	нация заслужить небольшой праздник
Разве это не сводит Вас с ума, ничего не делать? Не ходит там и не расследовать ничего?	разве это сводить вы ум делать не ходить расследовать ничто
Конечно раздражает, но...	конечно раздражать но
Несмотря на кучу народа, у меня недостаточно персонала.	несмотря куча народ недостаточно персонал
Даже если начнем расследование, то такого мы еще не видели.	даже начать расследование такой видеть
Я ни в чем уже не уверен.	я уверенный
20 лет на службе и я даже не знаю с чего начать.	20 год служба знать начать
- У нас ни малейшей зацепки о том что творится. - Ну...	у маленький зацепка твориться ну
Это можно изменить.	это изменить
Как?	как
Начнем с начала. Скажите мне все, что Вы знаете.	начать начало сказать весь вы знаете
Мы начали находить их приблизительно месяц назад.	мы начать находить приблизительно месяц назад
Люди теряли свой облик. Лица просто... исчезали.	человек терять свой облик лицо просто исчезать
- Что еще известно? - Это распространяется из севера Лондона.	что известно это распространяться север лондон
Во всем городе мужчины, женщины, дети, бабушки.	в весь город мужчина женщина ребёнок бабушка
Но наибольшее количество с... Улицы Флоризель.	но наибольший количество с улица флоризель
- Еще одна, сэр. - Хорошо, Крэбтри, не стесняйтесь Доктора.	ещё один сэр хорошо крэбтереть стесняться доктор
Поглядите-ка сюда. Посмотрим, что сможете выяснить.	поглядитек сюда посмотреть смочь выяснить
Роза...	роза
Вы знаете ее?	вы знаете она
Знаю? Она...	знать она
Найдена на улице, шла по Дамаст Роуд.	найти улица идти дамаст роуд
- Где она была? - Простите?	где быть простить
- Где ее нашли?! - Просто на улице.	где найти просто улица
На улице? Просто на улице.	на улица просто улица
Они взяли ее лицо, просто выгнали и оставили ее на улице.	они взять лицо просто выгнать оставить улица
В результате, все проясняется.	в результат проясняться
Очень, очень проясняется. Вы знаете почему?	очень очень проясняться вы знаете почему
- Нет... - Потому, Детектив Бишоп, что теперь нет никого на Земле кто сможет остановить меня.	нет потому детектив бишоп никто земля смочь остановить я
Вперед!	вперёд
Рассвет великого дня.	рассвет великое день
Раньше ты забавлялась с доктором.	ранний забавляться доктор
Но теперь ты со мной, Рита и будешь вести себя как раньше.	но я рита быть вести ранний
И улыбаться!	и улыбаться
А вот и хозяева пришли! Разбирайте! Разбирайте!	а хозяин прислать разбирать разбирать
Давайте все! Берите. Бутерброды для всех.	давать весь брать бутерброд весь
О, усаживайтесь, усаживайтесь, начинается!	о усаживаться усаживаться начинаться
Рита, мило, телевизор просто потрясающий!	рита мило телевизор просто потрясать
Просто изумительно. Картина такая четкая!	просто изумительно картина такой чёткий
"Да, Бэт, я говорил Рите, ""Ты не должна так хорошо укладывать волосы."	да бэт говорить рита ты должный укладывать волос
"Королева всеравно тебя не увидит!"""	королева всеравно увидеть
Где же ваша бабуля? Она не должна пропускать этого!	где ваш бабуля она должный пропускать это
- Прости, она не важно чувствует себя.- О-о! Очень жаль.	простить важный чувствовать себя оо очень жаль
Возможно мы увидимся позже.	возможно увидеться поздний
Возможно! Это хорошая идея, как ты считаешь, Папа?	возможно это хороший идея считать папа
Возможно Тетушка Бетти сможет увидеть Грейн позже!	возможно тётушка бетти смочь увидеть грейн поздний
О, он очень любит Грейн.	о очень любить грейн
- Мальчик который сует нос в чужие разговоры. - Ох, Вы знаете, как надо поступать с ними!	мальчик который суета нос чужое разговор ох вы знаете поступать они
- Эдди, Вы должны выбить это из него! - Это то, что я собираюсь сделать.	эдди вы должный выбить это он это то собираться сделать
Я открою.	я откроить
Томми. Поговори со мной. Мне нужно знать, что случилось в вашем доме.	томми поговорить я я нужно знать случиться ваш дом
- Какого черта ты опять делаешь? - Я хочу помочь, папа. - Г. Коннолли...	какой черта делать я хотеть помочь папа год коннолли
Спрячьте ваше лицо, Вы! Кто бы Вы не были!	спрятать ваш лицо вы кто вы быть
Мы не хотим Вас больше тут видеть!	мы хотеть вы видеть
Слушай, ты маленький негодник. Ты едва вылупился из колыбели,	слушай маленький негодник ты едва вылупиться колыбель
и я не жду, что ты поймешь. Но в этом доме я хозяин.	ждать понять но дом хозяин
Люди здесь уважают меня. Это важно, что люди думают.	человек уважать я это важный человек думать
Почему ты так поступил, Папа?	почему поступить папа
- О чем ты? Как поступил? - Ты сдал Грейн.	о ты как поступить ты сдать грейн
Как еще полиция могла узнать? Если кой-какой трус не сказал им.	как полиция мочь узнать если койкака трус сказать имя
Как ты смеешь?!	как сметь
Думаешь я прошел всю войну за таких как ты только что бы потом меня называли трусом?!	думать пройти война такой называть трус
Это ведь не одно и тоже? Ты сражался с фашистами, помнишь?	это один тоже ты сражаться фашист помнить
Людьми, диктовавших как жить... с кем дружить, в кого влюбляться!	человек диктовать жить кто дружить кто влюбляться
Кто должен жить, а кто умереть! Разве не против этого боролся?	кто должный жить умереть разве против бороться
Ты сражался чтобы мы жить и говорить что хотим.	ты сражаться жить говорить хотеть
Теперь ты стал таким же как они. Ты сдал абсолютно всех? Даже Грейн.	теперь стать такой они ты сдать абсолютно весь даже грейн
- Все, чтобы защитить твою драгоценную репутацию! - Эдди?	весь защитить твой драгоценный репутация эдди
Это правда?	это правда
Я сделал это для нас, Рита!	я сделать это мы рита
Она была грязна.	она грязный
Грязная, отвратительная штуковина.	грязный отвратительный штуковина
Она моя мать!	она мать
Ты донес на всех этих людей на нашей улице? На всех наших друзей.	ты донести этот человек наш улица на наш друг
Я должен был.	я должный быть
- Я сделал как положено. - Как положено, ради нас?	я сделать положить как положить ради мы
Или ради себя, Эдди?	или ради себя эдди
Иди, Томми. Иди с Доктором и помоги ему.	идти томми идти доктор помочь он
Иди подальше дома, тут плохо.	идти далёкий дом плохо
Под нашей крышей проживает румяный монстр... но это не моя мать!	под наш крыша проживать румяный монстр это мать
Рита!	рита
Томми?	томми
- Что все это значило? - Это было... окончание кой-чего.	что это значить это быть окончание койчего
Конец целого этапа. У всех все нормально?	конец целое этап у нормальный
Всеравно! Ни что не испортит нам этого великого дня.	всеравно ни испортить мы великое день
- Томми, расскажи о той ночи. Когда она изменилась. - Она просто смотрела телевизор.	томми рассказать тот ночь когда измениться она просто смотреть телевизор
Роза же говорила! Она с самого начала почувствовала!	роза говорить она самый начало почувствовать
Все эти антенны на одной небольшой улица. Как так?	весь антенна один небольшой улица как так
- Тут недалеко Г. Магпи. Он продает дешевые телики. - И где он сейчас? - Живее!	тут недалеко год магпить он продавать дешёвый телик и сейчас живой
- Эй! Вы не должны.... - Магазин!	эй вы должный магазин
Выйдите и поговорите со мной!	выйти поговорить я
- Магпи! - Может его нет. - Похоже на то.	магпить мочь нет похоже то
О, привет... это не правильно. Это очень не правильно.	о привет это правильно это очень правильно
Вкус как у железа. Бакелитовая мастика. Сделано человеком, да.	вкус железо бакелитовый мастика сделать человек да
Но сам дизайн...	но дизайн
О, чудесная работа и так просто.	о чудесный работа просто
Это невероятно, похоже на телевизор, но... портативный.	это невероятно похоже телевизор но портативный
Портативное телевидение!	портативный телевидение
И это не единственный источник энергии в этом месте.	и это единственный источник энергия место
Грейн!	грейн
Я уже близко.	я близко
- Что Вы тут делаете? - Я хочу спасти своего друга.	что вы делать я хотеть спасти свой друг
Я думаю, что это вне знаний простого электрика, так скажите, кто за это отвечает!	я думать это вне знание простой электрик сказать это отвечать
Ку-ку. Это мои знания.	куку это мой знание
- Оно так великолепно! - Она с нами говорит?	оно великолепно она мы говорить
Сожалею, но боюсь я виновен в этом. Позвольте представить мой новый... друг.	сожалеть бояться виновный это позволить представить новый друг
Весьма рада знакомству!	весьма рада знакомство
О, мой Бог. Это из-за нее. Той женщины из телевизора!	о бог это изз нея тот женщина телевизор
- Нет, просто оно использует ее образ. - Что... Кто же Вы?	нет просто оно использовать образ что кто вы
Я энергия! И я слопаю тебя, симпатичный мальчик!	я энергия и слопать ты симпатичный мальчик
Каждый твой кусочек!	каждый твой кусочек
И когда я поем...	и поесть
