cleaned_text	lemm_text
Степаныч!Ты что ж? Голова ж болит!	степанычта ж голова болеть
Эх, хорош!	эх хороший
Ой, сынок!	ой сынок
Мать...	мать
Блинков-то попробуй? Блинков?	блинковто попробовать блинк
Ну а вы что не катаетесь, а?	ну кататься а
Да щас пойдем! Насть, иди с отцом катайся!	да щас пойти настя идти отец кататься
Ааааа! Ааааа!	ааааа ааааа
Давай, давай!	давать давать
Савка!	савка
Мама! Смотриии!	мама смотриия
Эээх! Дениска, держись!	эээхо дениск держаться
Ааааа!	ааааа
Настя! Постой, не уходи...	настя постоять уходить
Мне нужно сказать что-то очень важное тебе.	я нужно сказать чтоть очень важный ты
Зачем?	зачем
Я люблю тебя.	я любить ты
Если бы ты знала, как я... как я мучительно люблю тебя!	если знать я мучительный любить ты
Бедный Семка...	бедный сёмкий
Я от своего не отступлюсь!	я свой отступиться
Давай-давай!	давайдавать
Слышь, Федор, сказал бы ты своей...дочке,	слышь фёдор сказать своейдочка
пусть не морочит пацанам головы.	пусть морочить пацан голов
Хороший у тебя парень, Михалыч...	хороший парень михаил
А дочку ты мою не трожь, понял?	а дочка мой трогать понять
Я предупредил,	я предупредить
ты предупреди свою дочку.	предупредить дочка
А я сказал дочку мою не трожь!	а сказать дочка мой трогать
Знаешь что, Федор?	знаешь что фёдор
Иди-ка ты...	идик ты
в дирекцию!	дирекция
Скажешь, что работаешь в другой бригаде.	сказать работать бригада
Ну и пойду!	ну пойти
Давай!	давать
Ну и давай!	ну давать
Давай!!!	давать
Ну и ладно.	ну ладный
Да ты че, Михалыч! Мы столько лет вместе работаем!	да че михаил мы столько год вместе работать
Федор!	фёдор
''Позабуду я мрачные силы, Что терзали меня, губя.	позабыть мрачный сила что терзать я губить
Облик ласковый! Облик милый! Лишь одну не забуду тебя.	облик ласковый облик милый лишь один забыть ты
Пусть я буду любить другую, Но и с нею, с любимой, другой,	пусть быть любить другой но нея любимый другой
Расскажу про тебя, дорогую, Что когда-то я звал дорогой.	рассказать ты дорогой что когдато звать дорогой
Расскажу, как текла былая Наша жизнь, что былой не была...	рассказать течь былой наш жизнь былой быть
Голова ты моя удалая, До чего ты меня довела?''	голова удалый до довести
Будем работать или что?	быть работать что
Водка...	водка
Кто принес?	кто принести
Гриша!	гриша
Полундра!!!	полундра
На выход!!!	на выход
Червяков, горный диспетчер, слушает.	червяк горный диспетчер слушать
На шахте авария.	на шахта авария
Клок! Михалыч!	клок михаил
Петруха!	петруха
Гриша!	гриша
Гриш! Гриша!	гриша гриша
Гриша, посмотри на меня! Гриша!	гриша посмотреть я гриша
Гриш, это я, Федор! Гриш!	гриша это я фёдор гриша
Гриша!	гриша
Директор шахты Серегин по аварии прибыл.	директор шахта серегин авария прибыть
