cleaned_text	lemm_text
Ты можешь бежать куда угодно. Я найду тебя и пристрелю.	ты мочь бежать угодный я найти пристрелить
Здесь или на другой стороне.	здесь сторона
Пути назад нет ни для кого.	путь назад кто
Что это было, прошлой ночью?	что это быть прошлый ночью
Мне пришлось проводить Макса домой, потому что он перебрал и хотел еще.	я прийтись проводить макс домой перебрать хотеть ещё
И тогда...	и тогда
Ну, он уговорил меня выкурить косячок с ним.	ну уговорить выкурить косячок он
Я правда был в отключке?	я правда отключка
Не притворяйся, что не помнишь.	не притворяться помнить
Что мы делали в том туннеле?	что делать туннель
И откуда у тебя эта ссадина?	и откуда этот ссадина
Ты был в полной панике.	ты полный паника
Ты напугал меня до чёртиков.	ты напугать чёртик
Я был под кайфом, Мая, прости.	я кайф май простить
Больше никогда не буду курить травку.	большой быть курить травка
Я собираюсь надрать Максу задницу за это.	я собираться надрать макс задница это
Только подожди, пока он очухается.	только подождать пока очухаться
У меня проблема с отопительными трубами. Нужно, чтоб кто-нибудь подержал лестницу.	у проблема отопительный труба нужно ктонибыть подержать лестница
Можно мне украсть его у вас, миссис Андернах? - Без проблем.	можно украсть вы миссис андёрн без проблема
Спасибо.	спасибо
Пошли, нам надо поговорить. Пожалуйста.	послать мы поговорить пожалуйста
Что-нибудь выпьешь?	чтонибыть выпить
Коньяк, джин, «Ягермайстер»?	коньяк джина «ягермайстер»
Лимонад? - Я не хочу пить.	лимонад я хотеть пить
Расслабься!	расслабиться
Звуконепроницаемые стены.	звуконепроницаемый стена
С тех пор, как я здесь, я не могу спать более 4 часов.	с тот пора здесь мочь спать 4 часы
Я никогда не выносил вид крови. Даже ребенком.	я выносить вид кровь даже ребёнок
А мой отец был мясником.	а отец мясник
А впрочем, к чёрту всё это.	а впрочем чёрт весь это
Здесь всегда была ловушка.	здесь ловушка
Хочешь, чтоб я рассказал тебе, как я оказался на этой стороне?	хотеть рассказать ты оказаться сторона
Несколько недель назад я получил в тюрьме выходной.	несколько неделя назад получить тюрьма выходной
Непредставление уведомления о банкротстве, вооруженное нападение, и т.д...8,5 лет!	непредставление уведомление банкротство вооружённый нападение тд85 год
Я почувствовал будто	я почувствовать
