cleaned_text	lemm_text
Нет. С мужчинами, лучший способ защиты - нападение.	нет с мужчина хороший способ защита нападение
Идите!	идти
Дорогой! Что ты здесь делаешь?	дорогой что делать
Я хотел задать тебе тот же вопрос.	я хотеть задать ты вопрос
Хотела сделать тебе сюрприз - купить картину к твоему дню рождения.	хотеть сделать ты сюрприз купить картина твой день рождение
-Но сюрприза не вышло. А ты? -Я?	но сюрприз выйти а ты я
Ну, да. Что ты здесь делаешь?	ну да что делать
То же, что и ты. Я тоже хотел купить картину мсье Дюкудрея.	то же ты я хотеть купить картина мсьё дюкудрей
Решительно, мне сегодня везет...	решительно сегодня везти
-Хочешь шампанского? -Да!	хотеть шампанский да
-Он обожает это. -О да, шампанское!	он обожать это о да шампанский
Ева - подруга Яна, Андре - мой муж.	ева подруга ян андре муж
-Здравствуйте. -Мое почтение, мадам.	здравствовать мой почтение мадам
Ева позировала Яну, когда я пришла...	ева позировать ян пришлый
-Да, да -Больше нет...	да большой нет
Не беспокойтесь...	не беспокоиться
Можно?	можно
-Вы позволите? -Да, да, конечно...	вы позволить да да конечно
Ну, я не ищу настоящего сходства.	ну искать настоящий сходство
В этом что-то есть.	в чтоть есть
Иначе, когда я что-то рисую, меня вдохновляет обнаженная женщина.	иначе чтоть рисовать вдохновлять обнажённый женщина
Затем я выражаю, как это сказать, чувственность моей модели...	затем выражать это сказать чувственность мой модель
Я понял.	я понять
-Дорогая! -Ева, что случилось?	дорогой ева случиться
Все в порядке?	весь порядок
Ева недавно потеряла близкого человека и...	ева недавно потерять близкий человек и
-Родителя? -Нет, да, почти своего гуру.	родитель нет да свой гуру
Гуру?	гуру
Его Святейшество Равишанадрадраван.	он святейшество равишанадрадраван
-Трудно выговорить, он индус. -Надеюсь, он не мучился.	трудно выговорить индус надеяться мучиться
Смерть была мгновенной. Сердце...	смерть мгновенный сердце
Инфаркт?	инфаркт
Нет. Удар ножа. Его тело нашли а келье.	нет удар нож он тело найти келья
Какой ужас! Такое преступление в монастыре!	какой ужас такой преступление монастырь
Нет, это была келья покаяния в Сан-Кентине...	нет это келья покаяние санкентина
Его заколол кинжалом дилер - пуэрториканец.	он заколоть кинжал дилер пуэрториканец
Они не поделили прибыль...	они поделить прибыль
Он сидел в тюрьме за торговлю наркотиками?	он сидеть тюрьма торговля наркотик
О нет, за... за... налоговые махинации.	о нет за за налоговый махинация
Он был погребен на своем ранчо в Гамбурге, Висконтин...	он погрести свой ранчо гамбург висконтина
Очень красивые похороны. Вся деревня съехалась...	очень красивый похороны весь деревня съехаться
Впрочем, деревня тоже его. Он был для Евы, как отец...	впрочем деревня он он ева отец
Мужайся, любовь моя!	мужаться любовь мой
Его Святейшество оставил ей один из своих Роллсов, их у него было 35.	он святейшество оставить свой роллсова 35
Для Евы это только знак внимания. Она не водит машину...	для ева это знак внимание она водить машина
Любовь моя, умерло только его тело, а его послание пережило его.	любовь мой умереть тело послание пережить он
Это главное. Мистика!	это главный мистика
Опять звонят! Определенно, этому нет конца!	опять звонить определённо это конец
Сегодня праздник:	сегодня праздник
Она забыла это.	она забыть это
Спасибо, старина.	спасибо старина
Это мой сосед. Он вернул несколько вещичек, которые утром попросил.	это сосед он вернуть несколько вещичка который утром попросить
-А, он просил Вашу зубную щетку. -Он вернул и Вашу косметику.	а просить ваш зубной щётка он вернуть ваш косметика
Да и мой тональный крем тоже! В этом прелесть квартирных домов.	да тональный крем тоже в прелесть квартирный дом
Если кому-то что-то нужно, мы стучимся к соседям...	если комуть чтоть нужно стучаться сосед
Опять! Этому нет конца!	опять это конец
