cleaned_text	lemm_text
Я прочитал то, что ты дал мне вчера. Неплохо.	я прочитать то дать вчера неплохо
- Ты так считаешь? - Да, на этот раз хорошо.	ты считать да хорошо
Создать такие характеры несколькими строчками - браво.	создать такой характер несколько строчка бравый
Я бы так не смог. У тебя талант.	я смочь у талант
Всё держится на нескольких сильных персонажах.	весь держаться несколько сильный персонаж
Надеюсь, ты поделишься гонораром.	надеяться поделиться гонорар
Видишь? Одному в этом не разобраться.	видеть один разобраться
Это было не слишком угнетающе?	это слишком угнетающе
Вопрос в том...	вопрос тот
Ты можешь на таком уровне написать текст подлиннее?	ты мочь такой уровень написать текст подлинный
Целую историю.	целовать история
Мне не хватает сосредоточенности.	я хватать сосредоточенность
Но ты готов биться часами над 3-мя строчками. Я бы не смог.	но готовый биться часами 3мя строчка я смочь
Тебя бы отвлекали мысли о работе.	ты отвлекать мысль работа
Нет, не о работе.	нет работа
Мама знает, что ты будешь в Правлении?	мама знать быть правление
Извини?	извинить
Ваша мать всегда всё знает.	ваш мать весь знать
Хорошо.	хорошо
Полагаю, что всё закончено.	полагать весь закончить
<i>- Где ты была - У Соланж.</i>	i где у соланжi
<i>Я звонила туда.</i>	iя звонить тудаi
Не сомневаюсь.	не сомневаться
- Роберт дома? - В своей комнате.	роберт дом в свой комната
Как дела?	как дело
<i>Привет.</i>	iприветi
Хорошо. Я позвоню завтра.	хорошо я позвонить завтра
Пока, Джеральдина.	пока джеральдин
- Пока, Бетти. - Оставайтесь на обед.	пока бетти оставаться обед
Может быть завтра. Нужно идти.	мочь завтра нужно идти
Ладно, в другой раз. Мы всегда вам рады.	ладный раз мы рад
Ты видел этого Боннара?	ты видеть боннара
Чувственно, да?	чувственно да
Ну, это же Боннар.	ну это боннары
Вы не остаётесь?	вы оставаться
Нет, нам нужно идти.	нет мы нужно идти
Очень жаль.	очень жаль
За мной сейчас придут...	за я прийти
Соланж и двое ребят. Приглашают меня в кино.	соланж двое ребята приглашать кино
- И как это понимать? - Никак.	и это понимать никак
- Ты знаешь этих ребят? - Нет.	ты знаешь этот ребята нет
- Ты теперь уходишь по ночам? - Нет.	ты уходить ночь нет
Иногда я приглашаю друзей. И мы ходим в кино.	иногда приглашать друг и ходить кино
Это не свидание.	это свидание
Я хочу, чтобы ты сейчас же отказалась.	я хотеть отказаться
Ты думаешь, плохое происходит только ночью?	ты думать плохой происходить ночью
Всё можно сделать днём до 8-ми вечера.	весь сделать днём 8ми вечер
- Вот оно как. - Это не ответ.	вот оно как это ответ
Но сечас я уже не могу отказаться.	но сечас мочь отказаться
Она не делает ничего плохого. Ты ведь не вышвырнешь этих детей.	она делать плохой ты вышвырнуть этот ребёнок
Я не хочу слышать об этом, понимаете?	я хотеть слышать это понимать
Я не могу сказать им, чтобы они уходили.	я мочь сказать имя уходить
Повтори это ещё раз - и я задушу тебя.	повторить это ещё задушить ты
Ты сумасшедший?	ты сумасшедший
Прекратите обращаться со мной как с идиотом!	прекратить обращаться я идиот
Ударь её, если хочешь - но только не по лицу!	ударить её хотеть лицо
"""Только не по лицу""! Что она вообразила?"	только лицо что вообразить
Успокойся.	успокоиться
Не делайте из меня дурака в собственном доме!	не делать дурак собственный дом
Извинись перед папой.	извиниться папа
- За что извиниться? - За то, что была груба.	за извиниться за то грубый
Когда это она была груба?	когда это грубый
- Всем - до свидания. - Пока, Клод.	весь свидание пока клод
- Где Роберт? - Я поранил палец.	где роберт я поранить палец
- У тебя было по-другому? - Всё то же самое.	у подругий весь самый
- Тебя колотили? - Да.	ты колотить да
- Иди есть, Роджер. - Иду.	идти есть роджер идти
Будь другом, одолжи 50 франков.	быть друг одолжить 50 франк
Отстань. Это мои карманные деньги.	отстать это мой карманный деньга
Я верну. Мы хотим сыграть в покер.	я вернуть мы хотеть сыграть покер
- А ты отдал консьержу? - Завтра.	а отдать консьерж завтра
Мадам Бетти, утром мне нужно к дантисту.	мадам бетти утром нужно дантист
- И ты тоже - ешь. - Ты это кому?	и есть ты это кома
Я готовлю, а никто не ест.	я готовить никто есть
Боятся испортить фигуру. Ты опять накрасилась?	бояться испортить фигура ты накраситься
Я ничего не сказал.	я сказать
Я им ещё не говорил.	я ещё говорить
Подожди. Я иду! Мать зовёт.	подождать я идти мать звать
Звонят в дверь.	звонить дверь
- Где полотенце? - Идёмте ко мне. Мой папа...	где полотенце идти к я мой папа
Привет.	привет
Моя дорогая Соланж. Сбиваешь мою дочь с пути?	мой дорогой соланж сбивать мой дочь путь
- Мы просто идём в кино. - Что идёте смотреть?	мы просто идти кино что идти смотреть
Ещё не знаю.	ещё знать
- Не знаете, что идёте смотреть? - Ещё нет.	не знаете идти смотреть ещё нет
Не думала, что спрошу?	не думать спросить
- Нам пора идти. - Да.	мы пора идти да
Он спросил, что мы идём смотреть. Я сказала - не знаю.	он спросить идти смотреть я сказать знать
- Пойдём? - Да, идём.	пойти да идти
- Не очень поздно. - Не позже 12-ти.	не очень поздно не поздний 12ть
Видел её причёску?	видеть её причёска
"""Видел её причёску?"""	видеть её причёска
И что тебе её причёска?	и ты её причёска
Время летит...	время лететь
- Мы здесь уже час. - Почему вы не подходили?	мы час почему подходить
- Твой отец устроил скандал? - Да, как обычно.	твой отец устроить скандал да обычно
- И что означает этот взгляд? - Не начинай.	и означать взгляд не начинать
Если тебе не нравится -	если ты нравиться
Я могу уйти. Я просто могу уйти.	я мочь уйти я просто мочь уйти
- Сюда? - Нет, к тебе.	сюда нет ты
- Мы идём в кино. - Не будь придурком.	мы идти кино не быть придурок
Значит, я - придурок?	значит придурок
Бернар.	бернар
Все говорят - я идиот, что встречаюсь с тобой.	весь говорят идиот встречаться ты
Я не шучу.	я шутить
- Правда? - Клянусь.	правда клясться
- Они ревнуют. - Нет - советуют бросить тебя.	они ревновать нет советовать бросить ты
- Я не нравлюсь тебе? - Нравишься. И ты это знаешь.	я нравиться ты нравиться и это знаешь
Тогда, что?	тогда что
Пойдём к тебе.	пойти ты
Тебя скоро заберут, и мы больше не увидимся.	ты скоро забрать увидеться
- А ты будешь скучать! - Буду. Я буду ревновать.	а быть скучать быть я быть ревновать
Не может быть.	не быть
- Я надеюсь, ты напишешь. - Не знаю.	я надеяться написать не знать
Ты нахал.	ты нахал
Я провожаю тебя домой, прощаюсь...	я провожать домой прощаться
Потом иду к проститутке, но думаю о тебе.	потом идти проститутка думать ты
- Тебе это неприятно? - Нет.	ты это неприятно нет
Разве это не прекрасно?	разве это прекрасно
- Я мертв. - Ты без сил?	я мёртвый ты сила
Не смеши меня.	не смешить я
Ты и правда замучен.	ты правда замучить
От меня ничего не осталось.	от остаться
Когда я об этом думаю!...	когда думать
О, чёрт.	о чёрт
Хочешь?	хотеть
- Когда ты пришла домой? - Я же сказала - буду в 12.	когда пришлый домой я сказать быть 12
- Уже час. - Ну и что.	уже час ну что
- Кто этот парень? - Какой парень?	кто парень какой парень
Не дурачь меня. Как его зовут?	не дурачить я как звать
- Бернар, а дальше? - Бернар Тревис.	бернар далёкий бернар тревис
- Чем он занимается? - Его забирают в армию.	чем заниматься он забирать армия
- Я спрашиваю, где он работает. - У своего дяди.	я спрашивать работать у свой дядя
А живёт с бабушкой.	а жить бабушка
Ты собираешься за него замуж?	ты собираться замуж
Ты можешь представить меня замужней?	ты мочь представить замужний
Тогда почему ты с ним?	тогда почему он
Мы просто встречаемся.	мы просто встречаться
И это значит, что нужно выходить замуж?	и это значит нужно выходить замуж
У тебя усталый вид. Почему бы тебе не лечь?	у усталый вид почему ты лечь
А что насчёт тебя? Мама покажет тебе завтра.	а насчёт ты мама показать ты завтра
Да, я иду спать. Я устала.	да идти спать я устать
Спокойной ночи.	спокойный ночь
Что с твоим глазом? Он весь желтый.	что твой глаз он весь жёлтый
- Желтый? - Клянусь.	жёлтый клясться
Ты сумасшедшая. С глазом всё нормально.	ты сумасшедший с глаз весь нормальный
- Ты изменилась в последнее время. - Правда?	ты измениться последний время правда
- Как? - Не знаю.	как не знать
Ты больше не улыбаешься.	ты улыбаться
- Что-то случилось? - Ничего.	чтоть случиться ничто
Раньше ты улыбалась чаще.	ранний улыбаться чаща
Ещё месяц или два назад. Как будто теперь тебе скучно.	ещё месяц назад как ты скучно
Нет, мне не скучно.	нет скучно
Ты придумываешь.	ты придумывать
Ты такая упрямица. Не хочешь ничего рассказать.	ты такой упрямица не хотеть рассказать
Ничего нет. Клянусь.	ничто нет клясться
- Ты именилась месяц назад. - Да?	ты имениться месяц назад да
- Почему ты раньше не сказал? - Мы не очень-то разговариваем.	почему ранний сказать мы оченьто разговаривать
Да. Но ничего не случилось.	да но случиться
А вот ты изменился. Ты выглядишь грустным.	а измениться ты выглядеть грустный
Я не грустный. Я устал.	я грустный я устать
- Слишком много работаешь. - Похоже, я скоро уеду.	слишком работать похоже скоро уехать
Уедешь? Куда?	уехать куда
Это моё дело.	это мой дело
А как мы будем без тебя?	а быть ты
Я думал.	я думать
Твой брат станет главой семьи.	твой брат стать главый семья
Брата не достаточно.	брат достаточно
Наступает день - и уже не можешь. И для меня настал этот день.	наступать день мочь и настать день
Тебе здесь всё надоело?	ты весь надоесть
Приходит день...	приходить день
И всё надоедает.	и весь надоедать
Значит, у тебя есть другая женщина.	значит другой женщина
- Люди поэтому и уходят. - Ну, да.	человек поэтому уходить ну да
- Это беспокоит тебя? - Сам понимаешь.	это беспокоить ты сам понимать
Почему тебя это тревожит?	почему это тревожить
Во-первых, ты - мой отец.	вопервое отец
И что? Я - твой отец. Вот и всё.	и что я твой отец вот весь
Конечно, но...	конечно но
Я не могу представить тебя с другой женщиной.	я мочь представить женщина
