cleaned_text	lemm_text
Сам я к сожалению здоров	сам сожаление здоровый
как бык.	бык
Отпуск у меня.	отпуск я
Книжку-то я по дороге купил.	книжкуть дорога купить
Представляете,	представлять
кругом столько болезней,	кругом столько болезнь
жена-то у меня	женатый
в командировке.	командировка
Детей на дачу калачами не заманишь.	ребёнок дача калач заманить
Один как сыч.	один сыч
О, а вот, кстати,	о вот кстати
и наш дурман.	наш дурман
Вот то, что вы пьете.	вот то пить
Несколько дурманящий.	несколько дурманить
Ну отсюда и название дурман, но успокаивающее средство.	ну отсюда название дурман успокаивать средство
Применяется строго ограничено, поскольку	применяться строго ограничить поскольку
растение очень ядовито.	растение очень ядовито
Минуточку.	минуточка
Это больше не пить.	это пить
А выпьем мы с вами вот что.	а выпить вы что
Выпьем мы с вами...	выпить вы
Неужели у вас ничего не болит, а?	неужели болеть а
Не может быть.	не быть
Я ведь вас когда увидел - ахнул!	я увидеть ахнуть
В гроб краше кладут!	в гроб краш класть
- У меня несчастье.	у несчастие
Я деньги потерял.	я деньга потерять
Ехал за дачу отдавать	ехать дача отдавать
и потерял.	потерять
Не то в автобусе, не то	не автобус
в троллейбусе.	троллейбус
А может и вытащили.	а вытащить
- Так ничего и не помните?	так помнить
- Нет.	нет
- А говорите совершенно здоров.	а говорить совершенно здоровый
- Вот что мы с вами выпьем.	вот вы выпить
Мята перечная.	мятый перечный
Способствует улучшению работы желудочно-кишечного	способствовать улучшение работа желудочнокишечный
тракта.	тракт
Но особенно полезна	но особенно полезный
при нервах. Выпейте на дорожку.	нерв выпить дорожка
И совершенно безвредная.	и совершенно безвредный
Пейте.	пить
Вот так всегда.	вот всегда
Добро приходится делать насильно.	добро приходиться делать насильно
Но, но, но.	но но но
Ничего, ничего.	ничто ничто
Ничего.	ничто
Она на спирту.	она спирт
Спирт выветрится и...	спирт выветриться и
трава начнет действовать.	трава начать действовать
- Десять часов.	десять часы
Неужели десять часов?	неужели десять часы
Да, десять часов.	да десять часы
- Да не нервничайте вы так.	да нервничать так
Поберегите себя.	поберечь себя
Вон по телевизору передавали - все болезни от нервов.	вон телевизор передавать болезнь нерв
Может у него какое хобби.	мочь какой хобби
Вот он и задержался.	вот задержаться
- Что?	что
- Хобби - это занятие такое, вместо работы.	хобби это занятие такой вместо работа
- А, хобби. У моего мужа нет никакого хобби.	а хобби у мой муж никакой хобби
- Не может быть.	не быть
У всякого мужчины есть.	у всякий мужчина есть
Но лучше, если явное.	но хороший явный
А то бывает тайное.	а бывать тайный
По телевизору показывали один фильм,	по телевизор показывать фильм
такой мужчина симпатичный	мужчина симпатичный
из этой старинной жизни.	старинный жизнь
Жену любил, детей,	жена любить ребёнок
а хобби было к цыганам ездить.	хобби цыган ездить
А еще хобби - тайная женщина легкого поведения.	а хобби тайный женщина лёгкое поведение
- О-о...	оо
Сомневаюсь.	сомневаться
Чтобы современный мужчина мог	чтобы современный мужчина мочь
тайно кого-нибудь	тайно когонибудь
содержать.	содержимый
- Нет, содержать он конечно	нет содержимый
не может.	мочь
А так, чтоб она его	а так
содержала - это сколько хотите.	содержимый это сколько хотеть
- А вот мой Егор	а егор
даже не курит.	курить
- Выпивает? - Вот и нет.	выпивать вот нет
- Значит в сторону приглядывается.	значит сторона приглядываться
У мужчины есть три стороны.	у мужчина сторона
Явная,	явный
средняя и тайная.	средний тайный
Явная - это курево, средняя - это	явный это курево средний это
выпивка и тайная...	выпивка тайный
Сами понимаете.	сам понимать
- Ну что вы, бывают и ангелы.	ну вы бывать ангел
- Ваш что ли?	ваш ли
Скажите, ему голую фигуру	сказать голый фигура
рисовать надо?	рисовать надо
Но тощую, извините, он	но тощий извинить
с вас нарисует.	нарисовать
Полную с кого?	полный кто
Выходит,	выходить
он другую женщину позовет? - Ну конечно.	другой женщина позвать ну конечно
- Вы вроде это поощряете.	вы вроде это поощрять
- Ну как же, это работа - он художник.	ну же это работа художник
Творчество...	творчество
- Подворот-поворот будет	подворотповорот
творчество.	творчество
- Если он найдет другую, я сама уйду.	если найти другой сам уйти
- Уйдете.	уйти
Это только в кинофильмах показывают:	это кинофильм показывать
живая женщина	живой женщина
мучиться будет,	мучиться быть
а никуда не уйдет.	никуда уйти
<i>Постарею,</i>	iпостареюi
<i>побелею.</i>	iпобелеюi
<i>Как земля зимой...</i>	iкак земля зимойi
- Ой!	ой
- Среднее у него хобби.	средний хобби
- Разрешите я вам помогу. - Нет, нет, что вы.	разрешить помочь нет нет вы
Я сама могу.	я сам мочь
- Да что вы, что вы.	да вы вы
Вы пока посидите, сядьте.	вы пока посидеть сесть
Вы простите, пожалуйста,	вы простить пожалуйста
что мы вот так	
по-дачному.	подачный
Как спалось на новом месте?	как спасться новый место
Муж спит?	муж спать
Вы извините, пожалуйста, но моя	вы извинить пожалуйста
жена,	жена
Марья Михайловна, докладывала мне, что ваш муж...	марья михайло докладывать я ваш муж
- Ах, вы муж Марьи Михайловны? - Да, да, да.	ах муж марья михайло да да да
- Очень приятно. - Да.	очень приятно да
Значит утро сегодня	значит утро сегодня
замечательное, просто... - Вы знаете, мне так	замечательный просто вы знаете
неловко перед вашей женой.	неловко ваш жена
Понимаете,	понимать
мой муж отдал деньги	муж отдать деньга
за дачу. - Обмыли значит?	дача обмыть значит
- Ну и что, дело житейское. - Да что вы!	ну что дело житейский да вы
Он никогда не пил.	он пить
В рот не брал.	в рота брать
- Правильно!	правильно
Так всегда и говорите.	так говорить
Настоящая жена	настоящий жена
первым делом друг	один дело друг
своему мужу.	свой муж
Зачем	зачем
лишние разговоры?	лишний разговор
Проснется он,	проснуться он
муторно ему будет.	муторный быть
Мы с вами давайте так сделаем.	мы вы давать сделать
Я возьму его с собой	я взять себя
на речку.	речка
Пробежимся с ним,	пробежаться он
поплаваем.	поплавать
Он и отойдет.	он отойти
Всё обойдется.	весь обойтись
Всё будет	весь
окей.	окей
- Что случилось?	что случиться
- Торф привезли, чернозем!	торф привезти чернозём
- Стоит появиться	стоить появиться
новой юбке	новый юбка
и он тут как тут,	тут
побежал.	побежалый
- Да что у тебя, Маша,	да ты маша
мысли какие-то.	мысль какиеть
Ну должен же	ну должный
человек помогать человеку.	человек помогать человек
Или мы уж совсем	или
снежные люди, что ли?	снежный человек ли
Я с ним побегать хочу.	я побегать хотеть
- Побегай.	побегать
Олимпиец.	олимпиец
А она пускай ко мне идет,	а пускай к идти
чайку попьем.	чайка попить
Чего спит?	что спать
- А может не будить его?	а будить он
Жалко. - Тут жалость как на войне - губительна.	жалко тут жалость война губительный
А вы пока идите к моей Марии Михайловне.	а пока идти мой мария михайло
Чайку попейте.	чайка попить
- Хорошо. - А, минуточку.	хорошо а минуточка
- Здравствуйте!	здравствовать
Будем знакомы.	быть знакомый
Вас Егор Тимофеевич зовут?	вы егор тимофей звать
Это мы знаем.	это знать
А меня Александр Васильевич.	а александр василий
Как Суворова.	как суворов
А ну бегом, быстрей давай, быстрей.	а бегом быстрый давать быстрый
Бегом, бегом.	бегом бегом
- Вообще	вообще
полезны любые ягоды.	полезный любой ягода
Овощи, фрукты.	овощ фрукт
Всё зависит от	весь зависеть
кожи.	кожа
- Бегает.	бегать
- Ну как, полегчало?	ну как полегчать
Бег трусцой - это	бег трусца это
лучшее средство от всего.	хороший средство всего
Ты что, как больной, Егор Тимофеевич?	ты что больной егор тимофей
Ты извини,	ты извинить
что я с тобой так попросту.	ты попросту
По-товарищески,	потоварищеский
прямо на ты.	прямо ты
Мне ты сразу понравился.	я сразу понравиться
Ты учти,	ты учесть
если начальство говорит	начальство говорить
"""ты"","	ты
значит оно тебя ценит.	значит оно ценить
"А если на ""вы"" перешло -"	а вы перейти
тут пиши по-собственному желанию.	писать пособственный желание
- У меня, Александр Васильевич, беда большая.	у я александр василий беда большой
Несчастье.	несчастие
Я не знаю как жене сказать.	я знать жена сказать
- А что?	а что
- Я деньги потерял.	я деньга потерять
- Казенные?	казённый
- Свои.	свой
- Беда большая.	беда большой
Несчастье.	несчастие
Да ты, Егор Тимофеевич,	да ты егор тимофей
видно в жизни	видно жизнь
настоящего то несчастья и не видел.	настоящий несчастие видеть
Ты глядишь вокруг себя.	ты глядеть вокруг себя
Ты посмотри,	ты посмотреть
что в мире делается!	мир делаться
А цунами?	а цунами
Ты знаешь, что такое цунами?	ты знаешь такой цунами
Это волна 30 метров.	это волна 30 метр
Как бухнет -	как бухнуть
города смывает.	город смывать
Вот это несчастье так несчастье.	вот это несчастие несчастие
А у тебя что?	а что
У тебя просто	у просто
неприятность.	неприятность
Это я понимаю,	это понимать
а ты - несчастье...	несчастие
Жене боится сказать...	жена бояться сказать
Да ты что.	да что
Смешно просто.	смешно просто
А ты представь себе бедствие.	а представить бедствие
Которое касается не только тебя,	который касаться ты
а...	а
Даже страшно сказать...	даже страшно сказать
Так что и тогда будешь от жены скрывать что ли?	так быть жена скрывать ли
Что ты,	что ты
дорогой мой...	дорогой мой
- Здравствуйте!	здравствовать
Как вы себя чувствуете?	как чувствовать
Вы не узнали меня?	вы узнать я
Я вчера была вечером у вас, когда вы приехали.	я вчера вечером вы приехать
- Вы?	вы
Извините меня, я вчера...	извинить я вчера
- Ну что вы, такие пустяки.	ну вы такой пустяк
Вы знаете, мой муж	вы знаете муж
продал картину.	продать картина
А это у нас не часто случается.	а это часто случается
Давайте сейчас захватим вашу милую жену	давать захватить ваш милый жена
и все вместе позавтракаем, м-м?	вместе позавтракать мм
- Не надо жену.	не жена
- Почему?	почему
Вы знаете, мы очень любим гостей.	вы знаете очень любим гость
К сожалению, не всегда	к сожаление
приходится их принять так как хочется.	приходиться принять хотеться
- А за сколько ваш муж продал	а сколько ваш муж продать
картину?	картина
- За миллион.	за миллион
Всем почему-то кажется,	весь почемуть кажется
что художники гребут деньги лопатой, такой вздор.	художник грести деньга лопата вздор
- Степаныч, ну где ты пропадаешь?	степаныч пропадать
Ну умираю - есть хочу.	ну умирать хотеть
Ну, честно.	ну честно
- Я хочу писать человека,	я хотеть писать человек
еще раз человека.	человек
Вы слышали	вы слышать
о Франце Хайсе?	франц хайса
- Нет.	нет
- Франц никогда не писал ни ангелов, ни	франц писать ангел
распятие, он никогда не писал	распятие писать
обнаженных сладостных и	обнажённый сладостный
животных	животное
женщин. Он писал портреты.	женщина он писать портрет
Одни только портреты.	один портрет
Степаныч,	степаныч
дай нам чего-нибудь поесть.	дать мы чегонибудь поесть
Степаныч!	степаныч
Ты слышишь меня?	ты слышать я
Кстати, о женщинах.	кстати женщина
