cleaned_text	lemm_text
но для меня просто невыносима мысль	просто невыносимый мысль
о том, чтобы увидеть его сейчас, понимаешь?	увидеть понимать
Можно сказать тебе кое-что?	сказать кое-что
Да?	
В тебе столько любви.	столько любовь
Больше чем в ком-либо, кого я встречал.	кто-либо встречать
Она вырывается из тебя.	вырываться
Ты хватаешь мир такими… такими большими глотками,	хватать мир … большой глотка
что просто не можешь не тонуть в нем.	просто мочь тонуть немой
Это переполняет тебя, вынуждает жить так,	это переполнять вынуждать жить
словно ты готова взорваться в любую минуту.	словно готовый взрываться любой минута
Они этого не видят.	это видеть
Я вижу.	видеть
Это груз, который ты несешь.	это груз который нести
Ты не думаешь, что я просто снова бегу?	думать просто снова бежать
О, я… возможно.	… возможно
Я подумываю о Флориде.	подумывать флорида
Флорида? Что есть во Флориде, черт возьми?	флорида флорида черт взять
У них есть аллигаторы и проклятый Epcot Center?	аллигатор проклятый epcot center
Что?	
Моя мама.	мама
Я просто устала прощаться, понимаешь?	просто уставать прощаться понимать
Рекурсия.	рекурсия
Именно.	именно
Может, тебе стоит пережить сердечный приступ.	стоить переживать сердечный приступ
- Да? - Да, да.	
Конечно.	
Знаешь, когда мои дела пошли из рук вон,	знать дело пойти рука вон
я делал все возможное, чтобы остаться на ринге.	делать весь возможный оставаться ринг
Дрался изо всех сил.	драться изо весь сила
В моей голове была такая мантра.	голова мантра
“Просто оставайся на ринге, оставайся там, стой”.	“ просто оставаться ринг оставаться стоять ”
Но я проигрывал.	проигрывать
В тот момент я знал, что если не остановлюсь,	момент знать останавливаться
это убьет меня.	это убивать
Я…	…
Мне ничего не оставалось.	ничто оставаться
Я знаю, это… Будет трудно, если останешься.	знать это … трудно оставаться
Будет трудно, если уедешь. Все трудно.	трудно уезжать трудно
Это…	это …
Иногда дело даже не в том, чего ты хочешь.	дело хотеть
А в том, что подсказывает твое чутье.	подсказывать твой чутье
Все, что ты можешь сделать - это…	мочь сделать это …
прислушаться и посмотреть, услышишь ли то, что оно говорит.	прислушиваться посмотреть услышать оно говорить
Оно говорит прощаться.	оно говорить прощаться
Да, тогда отправляйся в путь.	отправляться путь
Я не хочу прощаться с тобой.	хотеть прощаться
Ну, черт, милая, надеюсь это не навсегда.	черт милый надеяться это навсегда
Я жду, что ты вернешься	ждать вернуться
и снова встряхнешь меня.	снова встряхивать
Не дай мне состариться.	давать состариться
Вы мой клиент на 11:30?	клиент 11 30
Нет.	
Осмотритесь.	осматриваться
<i>Сводчатые потолки,</i>	i сводчатый потолок ,</ i
<i>потолочный плинтус, прекрасный район.</i>	i потолочный плинтус прекрасный район </ i
Что случилось с предыдущим жильцом?	случаться предыдущий жилец
Не знаю, но квартира выставлена на продажу	знать квартира выставлять продажа
уже дней 15 как.	день 15
Ты уверена, что там можно парковаться?	уверенный парковаться
Да.	
- В смысле, они объедут. - Хорошо.	смысл объехать
