cleaned_text	lemm_text
Серьезно, Джон.	серьёзно джон
Поверь. У меня полно недостатков. Увидишь.	поверь у полно недостаток увидеть
Надеюсь.	надеяться
Мы должны все закончить за три недели. Надеюсь, успеем.	мы должный закончить неделя надеяться успеть
Здесь спальни у них будут. У мамы с папой. У мальчиков.	здесь спальня быть у мама папа у мальчик
Мальчикам - семь и девять лет.	мальчик семь девять год
Здесь гостиная, ванная.	здесь гостиный ванная
А это будет кухня.	а это кухня
Большая и светлая - их мама потрясающе готовит.	большой светлый мама потрясающе готовить
Здесь должно быть особенно красиво.	здесь должный особенно красиво
Белый кафель на полу и на стенах.	белый кафель пол стен
Барная стойка. И крыша, само собой!	барный стойка и крыша сам себя
Скорее, Джон, бежим!	скорее джон бежать
Крышу особенно надежной надо сделать!	крыша особенно надёжный сделать
Сейчас только здесь можно от дождя укрыться.	сейчас дождь укрыться
Но крыша будет везде.	но крыша везде
Отлично. А пока переждем его здесь.	отлично а пока переждать здесь
Откуда он взялся?	откуда взяться
Шрам?	шрам
А, этот?	а этот
Да подрался.	да подраться
Мы здорово надрались, и один парень замахнулся ножом прямо в глаз.	мы здорово надраться парень замахнуться нож прямо глаз
Какой ужас!	какой ужас
Почему? Он же промахнулся.	почему он промахнуться
Я ведь видела, как люди смотрели на тебя тогда в ресторане с испугом.	я видеть человек смотреть ресторан испуг
Они не меня боятся.	они бояться
Возможно, того, кем я был.	возможно тот кто быть
А кем ты был?	а кто быть
Я был другим.	я другой
А после того, как пошел служить, изменился?	а тот пойти служить измениться
Да.	да
Какая-то часть меня изменилась.	какаять часть измениться
А оставшаяся?	а остаться
Я работаю над ней.	я работать она
Выходит, ты был жестким парнем.	выходить жёсткий парень
А, может, таким и остался. Но я не боюсь тебя, Джон.	а мочь такой остаться но бояться ты джон
Нет?	нет
А вот я тебя боюсь.	а бояться
Что там происходит?	что происходить
Джон.	джон
Ты думаешь, так легко от меня спрятаться?	ты думать легко спрятаться
Не переживай. Все понимают.	не переживать весь понимать
Почему ты тут сидишь?	почему сидеть
Пропустишь все гулянье.	пропустить гуляние
Все превосходно погуляют и без меня.	весь превосходно погулять я
Что случилось?	что случиться
Всю дорогу сидишь тут в одиночестве.	весь дорога сидеть одиночество
Я умираю, Джон.	я умирать джон
Что?	что
Это не смешно.	это смешно
Как мне плохо.	как плохо
Все закончилось.	весь закончиться
Ничего и не закончилось.	ничто закончиться
Да как же.	да же
Я завтра уезжаю.	я завтра уезжать
Возвращаюсь к учебе.	возвращаться учёба
- И что? - Ты тоже.	и что ты тоже
Ничего со мной не случится.	ничто я случиться
Мне служить всего 12 месяцев.	я служить 12 месяц
А потом я вернусь. Навсегда.	а вернуться навсегда
Но за год столько всего может произойти.	но год столько произойти
Думаешь, я этого не знаю?	думать знать
Я знаю это.	я знать это
И не боюсь ничего.	и бояться ничто
Я тебе клянусь.	я ты клясться
Разлука закончится очень скоро.	разлука закончиться очень скоро
И я вернусь навсегда.	и вернуться навсегда
Я буду тосковать.	я быть тосковать
Я вернусь.	я вернуться
Может, мне удастся демобилизоваться, пока ты учишься.	мочь удаться демобилизоваться пока учиться
И я пойду с тобой на выпускной бал.	и пойти ты выпускной бал
Я думаю, что проучусь немного подольше.	я думать проучиться немного долгий
Проведя столько времени в обществе твоего отца,	провести столько время общество твой отец
я решила, что хочу вести группы коррекции.	решить хотеть вести группа коррекция
Ты не говорила.	ты говорить
Сама не знаю, что это я столько времени не осознавала.	сам знать это столько время осознавать
Я ведь провела возле Алана	я провести возле алан
почти всю жизнь.	жизнь
Стоп, минутку. Не пойму, причем же тут мой отец?	стоп минутка не понять причём отец
В общем, это объясняет почему он такой...	в общий это объяснять почему такой
Забудь. Все неважно.	забыть весь неважно
Пойдем. Джон, пошли. Прошу.	пойти джон послать просить
Нет. Ничего не выйдет.	нет ничто выйти
Говори, что ты имела в виду?	говорить иметь вид
Я росла рядом с ребенком, у которого аутизм.	я рослый ряд ребёнок который аутизм
Поэтому у меня есть возможность сравнить.	поэтому возможность сравнить
Стой. Аутизм? То есть мой отец, как Алан?	стоять аутизм то отец алан
То есть мой отец умственно отсталый?	то отец умственно отсталый
Нет, Алан не умственно отсталый, он аутист.	нет алан умственно отсталый аутист
Существуют легкие формы этой болезни, часто их даже не распознают.	существовать лёгкое форма болезнь часто распознавать
Так вот почему ты ко мне ходила? Для того, чтобы изучать моего отца.	так почему к ходить для тот изучать мой отец
Нет! Как ты можешь говорить это?	нет как мочь говорить это
Я всю жизнь живу со своим отцом.	я жизнь жить свой отец
Приспосабливаюсь к нему всю жизнь.	приспосабливаться он жизнь
Думаешь, я не вижу, что он не такой, как все?	думать видеть такой весь
Думаешь, мне нужно, чтобы ты в это ткнула?	думать нужно это ткнуть
Да.	да
Солдат!	солдат
Уже уходишь, да?	уже уходить да
На. Махни. Я угощаю.	на махнуть я угощать
Ну что это!	ну это
Нужно выпить, сразу полегчает.	нужно выпить сразу полегчать
Грустишь?	грустить
Да брось, тебе надо расслабиться.	да бросить ты расслабиться
Пойдем. Сейчас расслабишься и...	пойти сейчас расслабиться и
- Слушай, не пошел бы ты... -А что с Саванной?	слушай пойти ты а саванный
- Оставь меня в покое. - Нет, нет, стой. Что с Саванной?	оставить покой нет нет стоять что саванный
Убери-ка руки от меня.	уберик рука я
Ну говори, солдат. Что у вас там произошло?	ну говорить солдат что произойти
Джон!	джон
Джон!	джон
Тим, какой ужас!	тим ужас
Я сомневаюсь, что она там.	я сомневаться там
Хотя вряд ли уже уехала.	хотя вряд уехать
Обычно перед отъездом она забегает, чтоб попрощаться, но...	обычно отъезд забегать попрощаться но
Черт, Тим... Ты уж прости меня...	черта тим ты простить я
Да ладно. Мне даже нравится.	да ладный я нравиться
Сам себе крутым кажусь.	сам крутой кадиться
Я, я не представлял, что это был ты.	я представлять это ты
Я сам виноват.	я виноватый
Знал ведь, что нельзя связываться с разъяренным «зеленым беретом».	знать ведь связываться разъярённый «зелёный беретом»
Слушай, если увидишь ее, скажешь от меня два слова?	слушай увидеть она сказать слово
Конечно.	конечно
Скажи, что я приходил,	сказать приходить
и что мне...	я
Может, напишешь?	мочь написать
Да.	да
Обещаю отдать.	обещать отдать
Спасибо.	спасибо
Привет, пап.	привет папа
Я подумал, может, еще кто придет, поэтому приготовил две.	я подумать мочь прийти поэтому приготовить два
Не нужно. Я сам.	не нужно я сам
Да ничего, пап, я...	да ничто папа я
Я уберу, положи, не нужно.	я убрать положить нужно
- Они чистые, пап. - Я сам, сам.	они чистый папа я сам сам
Хорошо.	хорошо
- Ты хочешь все съесть сегодня? - Нет.	ты хотеть съесть сегодня нет
Оставлю до воскресенья.	оставить воскресение
Извини, пап.	извинить папа
Получила.	получить
Кратко, сладко, уместно.	кратко сладко уместно
Прости.	простить
Джон, ты прости.	джон простить
Я так винова...	я виновый
Нет, это я виноват.	нет это виноватый
Я не хотела тебя обидеть.	я хотеть обидеть
Сама не думала, о чем говорю. Доктором себя вообразила.	сам думать говорить доктор вообразить
Я за ним сегодня наблюдал.	я сегодня наблюдать
Джон. Прошу тебя, не воспринимай всерьез мои слова.	джон просить ты воспринимать всерьёз мой слово
Я ничего в этом не смыслю. Ладно?	я смыслить ладный
Я уезжаю в школу. И мне нужно было убедиться, что...	я уезжать школа и нужно убедиться что
Убедиться в чем?	убедиться чем
Я ведь тебе пообещал.	я ты пообещать
Да.	да
Джон, ты написал мне первое письмо, я тоже.	джон написать первое письмо тоже
Прочтешь после моего отъезда.	прочесть мой отъезд
Хорошо.	хорошо
Да, слушай.	да слушай
- Есть хочешь? - Да.	есть хотеть да
Честно?	честно
А то отец приготовил для тебя кое-что вкусное.	а отец приготовить коечто вкусный
Сегодня же воскресенье.	сегодня воскресение
Здорово.	здорово
Только я долго не могу.	только долго мочь
Я знаю. Пошли.	я знать послать
Дорогой Джон.	дорогой джон
Две недели.	два неделя
Вот и все, что у нас было.	вот весь быть
Две недели, чтобы влюбиться в тебя по уши.	два неделя влюбиться ухо
А теперь мы расстаемся на год.	а расставаться год
Но что нам год разлуки, если у нас были эти две недели.	но мы год разлука два неделя
Ладно, пап.	ладный папа
Пошел.	пойти
- Береги себя, ладно? -Ладно.	беречь себя ладный ладный
Все хорошо будет.	весь быть
Ты дал мне обещание. И я знаю, ты его сдержишь.	ты дать обещание и знать сдержать
Но пообещай еще кое-что, только на время нашей разлуки.	но пообещать коечто время наш разлука
Рассказывай мне обо всем, Джон.	рассказывать о весь джон
Пиши от руки, наколачивай на компьютере и отправляй по электронной почте.	писать рука наколачивать компьютер отправлять электронный почта
Как угодно, лишь бы я знала о тебе все.	как угодный лишь знать ты весь
Так мы всегда будем рядом, какое бы расстояние нас ни разделяло.	так быть ряд какой расстояние разделять
И тогда я, как прежде, смогу сказать тебе.	и я прежде смочь сказать ты
До скорой встречи.	до скора встреча
Девчонки, как жизнь?	девчонка жизнь
Джонни!	джонни
Вернулся! Ты как?	вернуться ты как
Загорел-то! Приветствую!	загорёлтый приветствовать
С возвращением! Вон твой ваучер.	с возвращение вон твой ваучер
Хорошо.	хорошо
Как в Атлантик-Сити прошло?	как атлантиксити прошлый
Ничего смешного.	ничто смешной
Я его об одном попросил. Только одна просьба.	я один попросить только один просьба
Да я-то причем? Я только что увидел его.	да ято причём я увидеть он
Кто не знает, у того нет и вопросов.	кто знать вопрос
Он только вернулся, как он мог узнать?	он вернуться мочь узнать
Можете не распаковываться.	мочь распаковываться
Мы вылетаем на рассвете.	мы вылетать рассвет
Я в предвкушении.	я предвкушение
<i>Дорогая Саванна, я обещаю.</i>	iдорогой саванна обещаюi
<i>Обещаю, что мы скоро увидимся.</i>	iобещать скоро увидимсяi
<i>Обещаю все время писать. Обещаю обо всем рассказывать.</i>	iобещать время писать обещать о весь рассказыватьi
<i>И потерпи, если мои письма будут идти к тебе слишком долго.</i>	iи потерпеть мой письмо быть идти ты слишком долгоi
<i>Нас перебросили очень далеко.</i>	iнас перебросить очень далекоi
Живее, солдаты!	живой солдат
Быстро, быстро! Шевелитесь!	быстро быстро шевелиться
<i>Сложность в том, что мы не можем пользоваться местной почтой.</i>	iсложность тот мочь пользоваться местный почтойi
<i>Интернета тут тоже нет.</i>	iинтернет нетi
<i>Поэтому все приходится отправлять по воздуху.</i>	iпоэтому приходиться отправлять воздухуi
- Отправишь его? - Да запросто.	отправить он да запросто
- Не потеряй! - Не бойся!	не потерять не бояться
<i>К сожалению, мне нельзя назвать место, где мы сейчас находимся.</i>	iк сожаление назвать место находимсяi
<i>Единственное, что могу сказать: здесь я ужасно тоскую по Америке.</i>	iединственный мочь сказать ужасно тосковать америкеi
<i>Тут нет ни малейшего намека на океан, и я тоскую по Чарльстону.</i>	iтут маленький намёк океан тосковать чарльстонуi
<i>И все вокруг меня вызывает дикую тоску по тебе.</i>	iи вокруг вызывать дикий тоска тебеi
<i>Мы часто перемещаемся, из-за чего письма приходят с опозданием и не по порядку.</i>	iмы часто перемещаться изз письмо приходить опоздание порядкуi
<i>Поэтому мы просим нумеровать их перед отправкой, чтобы не было путаницы.</i>	iпоэтому просить нумеровать отправка путаницыi
<i>Но когда письма, наконец, приходят,</i>	iно письмо наконец приходятi
<i>значит, день удался.</i>	iзначить день удалсяi
<i>А когда их нет...</i>	iа нетi
Так, ну-ка, посмотрим.	так нук посмотреть
Не мне.	не я
Не мне.	не я
Не мне.	не я
Тоже не мне.	тоже я
<i>- Когда их нет...</i> - Извини, и тебе ничего.	i когда нетi извинить ты ничто
<i>...я знаю, что они все равно придут. Знаю.</i>	iя знать равно прийти знаюi
Письмо номер восемь.	письмо номер восемь
<i>Дорогой Джон. Я приехала на выходные к родителям.</i>	iдорогой джон я приехать выходной родителямi
<i>У них как раз были гости, ты их знаешь.</i>	iу гость знаешьi
Саванна!	саванна
Саванна!	саванна
Эта лошадь прямо для тебя.	этот лошадь прямо ты
<i>Сегодня мы с Аланом катались верхом.</i>	iсегодня алан кататься верхомi
