cleaned_text	lemm_text
Может, тоже потанцуем?	мочь потанцевать
Медвежонок покажет тебе класс.	медвежонок показать ты класс
Не сходи с тропинки.	не сходить тропинка
- Она идёт вокруг всего озера. - Понял.	она идти вокруг озеро понять
- Вас здесь всего трое? - Угу.	вы трое угу
Родители разводятся. Обычные закидоны среднего возраста.	родитель разводиться обычный закидон среднее возраст
Надеюсь, они передумают.	надеяться передумать
Хорошо бы.	хорошо бы
- Вроде опять дождь собирается. - Да.	вроде дождь собираться да
Слушай, если совсем туго будет	слушай туго
или душ захочешь принять, мы всегда дома.	душа захотеть принять дом
Если вдруг уйдём, Томми обычно не закрывает дверь.	если уйти томми обычно закрывать дверь
- Пока. - Удачи.	пока удача
Как там твоя?	как твой
Что, облом?	что облом
Вот что.	вот что
Её нужно завести. Следи за мной. И учись.	её нужно завести следить я и учиться
И, Джимбо, не будь таким отстоем.	и джимбо быть такой отстой
Я же просил. Прекращай это.	я просить прекращать это
- И вообще. Отхватил лучшую из двух. - Учись.	и вообще отхватить хороший два учиться
- Привет. - Он думает, что это смешно.	привет он думать это смешно
Вбил себе в голову, что это забавно.	вбить голова это забавно
- Так, Тина, готова? - Да.	так тина готовый да
- Раз! - Раз!	раз раз
Два!	два
Три!	три
Всё, победила… Тина!	весь победила… тина
А какой приз?	а приз
А что ты хочешь?	а хотеть
Джимбо, включи музыку.	джимбо включить музыка
Джимбо.	джимбо
А ты не против?	а против
Я, вообще-то, хотела искупаться.	я вообщеть хотеть искупаться
Здесь воздух слишком спёртый стал.	здесь воздух слишком спереть стать
- Сэм… - Сара. Сара, давай танцевать.	сэм… сара сара давать танцевать
Я не хочу.	я хотеть
Пусть сами разбираются.	пусть сам разбираться
Я поговорю с Полом.	я поговорить полый
Хорошо?	хорошо
- Можно тебя на пару слов? - Всё, я его прикончу.	можно пара слово весь прикончить
- Слышь, пойдём поболтаем. - Отстой, иди отсюда.	слышь пойти поболтать отстой идти отсюда
Я как раз насчёт этого.	я насчёт это
Нет, ну ты прикинь.	нет прикинуть
Она же моя была. Моя.	она быть мой
А ты загрузи свой компьютер, Тедди.	а загрузить свой компьютер тедди
Может, он чего и посоветует.	мочь посоветовать
Пол?	половина
Я знаю, что ты здесь, Поли.	я знать здесь поль
Пол?	половина
Ладно. Пошёл ты, Поли.	ладный пойти ты поль
Хватит, Пол.	хватить половина
Я знаю, ты тут.	я знать тут
Пол?	половина
Пошёл ты, Пол.	пойти ты половина
Что с тобой?	что ты
Я так не могу.	я мочь
Прости. Я пойду.	простить я пойти
Потанцуем?	потанцевать
Да. Давай.	да давать
Я думал, тебе Тед понравился.	я думать ты тед понравиться
Понравился.	понравиться
Но теперь я хочу быть с тобой.	но хотеть ты
Я себя чувствую предателем.	я чувствовать предатель
Тебе со мной не скучно?	ты я скучно
Джимми.	джимми
Давай пойдём наверх.	давать пойти наверх
Наверх.	наверх
Его зовут Тедди. Поцелуешь медвежонка?	он звать тедди поцеловать медвежонок
Чёрт!	чёрт
Чёрт.	чёрт
Чёрт.	чёрт
Какая уютная комнатка.	какой уютный комнатка
Это же твоя комната.	это твой комната
Нет. Она, вообще-то, Пола.	нет она вообщеть полый
Ты милашка.	ты милашка
- Не слабо мы. - Прости.	не слабо мы простить
Народ! Смотрите, что я нашёл.	народ смотреть найти
Что это?	что это
Боже, ну и свинья!	бог свинья
Тина? Нам пора.	тина мы пора
Уходи.	уходить
Тина, я без тебя поеду.	тина поехать
Зонтик возьми.	зонтик взять
Шлюха!	шлюха
НА ПОМОЩЬ	на помощь
Я пойду наверх.	я пойти наверх
Устала?	устать
Нет.	нет
Не хочешь сегодня переночевать на нижней койке?	не хотеть сегодня переночевать нижний койка
А что, ты хочешь на верхнюю?	а что хотеть верхний
Нет.	нет
Только дай мне пару минут.	только дать пара минута
Ладно?	ладный
