cleaned_text	lemm_text
Я же повар, нож - мой инструмент.	я повар нож инструмент
Так если пистолета не будет? - Я воспользуюсь ножом.	так пистолет быть я воспользоваться нож
А если и ножа не будет? - Горло ему перегрызу.	а нож быть горло перегрызть
Ну этого достаточно. Пойдем.	ну достаточно пойти
Во мне кипит праведный гнев. Это что такое?	в кипеть праведный гнев это такой
Я же не убил еще никого, а уже на скамье подсудимых.	я убить никто скамья подсудимый
Ваша честь!	ваш честь
Идем, идем. - Я, Баннер...	идти идти я баннер
Сейчас сделаем тебе баннер.	сейчас сделать ты баннер
Брат то мой придет? - Придет, но не сюда.	брат прийти прийти сюда
Ну и ладно.	ну ладный
Мы в кино что ли пришли?	мы кино прислать
Ну да, мы же на автобусе приехали и билет в кино купили.	ну да автобус приехать билет кино купить
Забыл уже?	забыть уже
Правда? - Нет. Да.	правда нет да
Садись. - Что то здесь народу многовато.	садиться что народ многовато
Полный зал, да? Полный.	полный зал да полный
А что за фильм - экшн или комедия? - Про убийство.	а фильм экшн комедия про убийство
Ты сказал про убийство. А что за Кинг Конга показывают?	ты сказать убийство а кинг конг показывать
Это же ты. - Я?	это ты я
А почему меня здесь показывают?	а почему показывать
